Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Normalised Votes
#Gadhvi (He thought he was Gandhi),2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,0.025974025974025976
#Yaaram,2019,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,0.11363636363636363
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,3.8465116279069766
...Yahaan,2005,142,"Drama, Romance, War",7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,2.2531120331950207
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,0.8489583333333334
@Andheri,2014,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,0.02925531914893617
1:1.6 An Ode to Lost Love,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,0.050595238095238096
1:13:7 Ek Tera Saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,0.14640198511166252
100 Days,1991,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,13.943262411347519
100% Love,2012,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,1.3333333333333333
102 Not Out,2018,102,"Comedy, Drama",7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,25.60541586073501
10ml LOVE,2010,87,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,0.28421052631578947
12 O'Clock,1958,132,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,2.1176470588235294
12 O'Clock,2021,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,0.15403422982885084
127 B,2017,116,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,0.1897810218978102
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,17.778089887640448
15 Park Avenue,2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,2.078838174273859
15th August,1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,0.08522727272727272
16 December,2002,158,"Action, Thriller",6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,2.7784026996625424
18.11,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,0.026595744680851064
19 Revolutions,2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,0.047619047619047616
1920,2008,138,"Horror, Mystery, Romance",6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,4.747320061255743
1920 London,2016,120,"Horror, Mystery",4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,3.86848635235732
1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,4.716145833333333
1921,2018,144,"Horror, Mystery, Romance",4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,4.1353965183752415
